rollout,graph_index,target_nodes,mode,raw_nodes,raw_edges,lcc_nodes,lcc_edges
2,15,36,cropped_calibrated,5,3,3,2
2,15,36,cropped_fixed_budget,32,45,32,45
2,16,50,full_threshold_0p5,36,37,36,37
2,16,50,cropped_threshold_0p5,36,37,36,37
2,16,50,cropped_calibrated,2,1,2,1
2,16,50,cropped_fixed_budget,36,45,36,45
2,17,68,full_threshold_0p5,36,33,16,16
2,17,68,cropped_threshold_0p5,34,32,16,16
2,17,68,cropped_calibrated,2,1,2,1
2,17,68,cropped_fixed_budget,43,45,31,35
2,18,65,full_threshold_0p5,88,92,54,63
2,18,65,cropped_threshold_0p5,57,62,50,58
2,18,65,cropped_calibrated,6,4,4,3
2,18,65,cropped_fixed_budget,50,45,15,14
2,19,96,full_threshold_0p5,98,4733,98,4733
2,19,96,cropped_threshold_0p5,96,4540,96,4540
2,19,96,cropped_calibrated,96,4085,96,4085
2,19,96,cropped_fixed_budget,45,45,32,37
3,0,30,full_threshold_0p5,47,48,43,46
3,0,30,cropped_threshold_0p5,28,29,28,29
3,0,30,cropped_calibrated,2,1,2,1
3,0,30,cropped_fixed_budget,30,45,30,45
3,1,71,full_threshold_0p5,32,30,30,29
3,1,71,cropped_threshold_0p5,30,29,30,29
3,1,71,cropped_calibrated,7,6,7,6
3,1,71,cropped_fixed_budget,44,45,34,38
3,2,73,full_threshold_0p5,98,4236,98,4236
3,2,73,cropped_threshold_0p5,73,2186,73,2186
3,2,73,cropped_calibrated,34,29,18,18
3,2,73,cropped_fixed_budget,49,45,37,39
3,3,92,full_threshold_0p5,33,30,19,20
3,3,92,cropped_threshold_0p5,33,30,19,20
3,3,92,cropped_calibrated,4,2,2,1
3,3,92,cropped_fixed_budget,37,45,35,44
3,4,86,full_threshold_0p5,34,30,22,22
3,4,86,cropped_threshold_0p5,32,29,22,22
3,4,86,cropped_calibrated,2,1,2,1
3,4,86,cropped_fixed_budget,47,45,33,36
3,5,25,full_threshold_0p5,23,24,19,22
3,5,25,cropped_threshold_0p5,17,20,17,20
3,5,25,cropped_calibrated,6,5,6,5
3,5,25,cropped_fixed_budget,25,45,25,45
3,6,74,full_threshold_0p5,23,20,19,18
3,6,74,cropped_threshold_0p5,23,20,19,18
3,6,74,cropped_calibrated,3,2,3,2
3,6,74,cropped_fixed_budget,46,45,30,33
3,7,23,full_threshold_0p5,30,31,27,29
3,7,23,cropped_threshold_0p5,23,25,23,25
3,7,23,cropped_calibrated,2,1,2,1
3,7,23,cropped_fixed_budget,23,45,23,45
3,8,49,full_threshold_0p5,98,4731,98,4731
3,8,49,cropped_threshold_0p5,49,1156,49,1156
3,8,49,cropped_calibrated,47,244,47,244
3,8,49,cropped_fixed_budget,39,45,33,42
3,9,85,full_threshold_0p5,98,4702,98,4702
3,9,85,cropped_threshold_0p5,85,3519,85,3519
3,9,85,cropped_calibrated,85,364,85,364
3,9,85,cropped_fixed_budget,53,45,12,11
3,10,74,full_threshold_0p5,28,22,10,10
3,10,74,cropped_threshold_0p5,26,21,10,10
3,10,74,cropped_calibrated,5,4,5,4
3,10,74,cropped_fixed_budget,46,45,39,40
3,11,48,full_threshold_0p5,16,15,16,15
3,11,48,cropped_threshold_0p5,16,15,16,15
3,11,48,cropped_calibrated,6,5,6,5
3,11,48,cropped_fixed_budget,41,45,25,30
3,12,95,full_threshold_0p5,30,30,20,24
3,12,95,cropped_threshold_0p5,28,29,20,24
3,12,95,cropped_calibrated,6,5,6,5
3,12,95,cropped_fixed_budget,44,45,29,34
3,13,58,full_threshold_0p5,28,29,24,27
3,13,58,cropped_threshold_0p5,26,28,24,27
3,13,58,cropped_calibrated,6,4,4,3
3,13,58,cropped_fixed_budget,35,45,32,43
3,14,43,full_threshold_0p5,15,14,13,13
3,14,43,cropped_threshold_0p5,13,13,13,13
3,14,43,cropped_calibrated,3,2,3,2
3,14,43,cropped_fixed_budget,33,45,26,40
3,15,36,full_threshold_0p5,33,27,12,13
3,15,36,cropped_threshold_0p5,20,18,12,13
3,15,36,cropped_calibrated,2,1,2,1
3,15,36,cropped_fixed_budget,30,45,30,45
3,16,50,full_threshold_0p5,98,272,98,272
3,16,50,cropped_threshold_0p5,50,170,50,170
3,16,50,cropped_calibrated,28,23,17,16
3,16,50,cropped_fixed_budget,45,45,36,38
3,17,68,full_threshold_0p5,85,87,85,87
3,17,68,cropped_threshold_0p5,68,70,68,70
3,17,68,cropped_calibrated,11,9,8,7
3,17,68,cropped_fixed_budget,46,45,46,45
3,18,65,full_threshold_0p5,24,18,11,10
3,18,65,cropped_threshold_0p5,22,17,11,10
3,18,65,cropped_calibrated,2,1,2,1
3,18,65,cropped_fixed_budget,44,45,25,28
3,19,96,full_threshold_0p5,71,102,69,101
3,19,96,cropped_threshold_0p5,71,102,69,101
3,19,96,cropped_calibrated,6,3,2,1
3,19,96,cropped_fixed_budget,43,45,28,31
4,0,30,full_threshold_0p5,76,70,33,36
4,0,30,cropped_threshold_0p5,29,32,29,32
4,0,30,cropped_calibrated,4,2,2,1
4,0,30,cropped_fixed_budget,30,45,30,45
4,1,71,full_threshold_0p5,19,16,13,13
4,1,71,cropped_threshold_0p5,17,15,13,13
4,1,71,cropped_calibrated,4,3,4,3
4,1,71,cropped_fixed_budget,38,45,21,31
4,2,73,full_threshold_0p5,44,47,44,47
4,2,73,cropped_threshold_0p5,44,47,44,47
4,2,73,cropped_calibrated,4,2,2,1
4,2,73,cropped_fixed_budget,43,45,43,45
4,3,92,full_threshold_0p5,12,10,10,9
4,3,92,cropped_threshold_0p5,12,10,10,9
4,3,92,cropped_calibrated,4,3,4,3
4,3,92,cropped_fixed_budget,48,45,38,39
4,4,86,full_threshold_0p5,23,20,15,15
4,4,86,cropped_threshold_0p5,22,19,14,14
4,4,86,cropped_calibrated,5,4,5,4
4,4,86,cropped_fixed_budget,34,45,29,42
4,5,25,full_threshold_0p5,37,34,16,17
4,5,25,cropped_threshold_0p5,19,19,15,16
4,5,25,cropped_calibrated,2,1,2,1
4,5,25,cropped_fixed_budget,25,45,25,45
4,6,74,full_threshold_0p5,72,70,59,58
4,6,74,cropped_threshold_0p5,72,70,59,58
4,6,74,cropped_calibrated,11,6,3,2
4,6,74,cropped_fixed_budget,52,45,13,12
4,7,23,full_threshold_0p5,15,13,12,11
4,7,23,cropped_threshold_0p5,15,13,12,11
4,7,23,cropped_calibrated,2,1,2,1
4,7,23,cropped_fixed_budget,22,45,22,45
4,8,49,full_threshold_0p5,16,16,16,16
4,8,49,cropped_threshold_0p5,15,15,15,15
4,8,49,cropped_calibrated,3,2,3,2
