Source,Setting,Model,Dataset,Status,Rank,Normalized Score,Normalized Score Source,Best Val Score,Best Val Epoch,Best Val Degree,Best Val Clustering,Best Val Orbit,Best Val Spectral,Best Val Diameter,Best Val MMD RBF,Best Val Precision,Best Val Recall,Best Val F1-PR,alpha_node_feat,alpha_edge_feat,alpha_motif_loss,alpha_syntactic_literal_motif_loss,alpha_kernel_cost,alpha_adj_recon,rule_mode,motif_temperature_start,motif_temperature_end,motif_temperature_guard_ratio,motif_temperature_guard_relax_factor,motif_temperature_guard_sharpen_factor,Degree,Clustering,Orbit,Spectral,Diameter,MMD RBF,MMD RBF Std,MMD Linear,MMD Linear Std,MMD Linear Median,MMD Linear Trimmed Mean,MMD Linear Min,MMD Linear Max,MMD Linear Mean/Median,Precision,Precision Std,Recall,Recall Std,F1-PR,F1-PR Std,Local MMD RBF,Local MMD RBF Std,Local Precision,Local Precision Std,Local Recall,Local Recall Std,Local F1-PR,Local F1-PR Std,Triangles,Sparsity,Avg Edges Test,Avg Edges Generated,Num Generated Graphs,Num Reference Graphs,Repeats,Run Dir,Config,Notes
lobster_docx_20260708,11,GraphVAE-MM motif both,LOBSTER,evaluated,7,1.14569098974,docx_table2_plus_docx_table3,,,,,,,,,,,,,,,,,,,,,,,,0.0041,0,0.0578,0.0383,0.3559,0.4371,,70.3934,,,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,reports/lobster.docx,
loss_weight_sweep_docx_20260708,coarse_01,GraphVAE+Motif both no-temp,LOBSTER,evaluated,5,1.01288801778,docx_table2_plus_docx_table3,,,,,,,,,,,,0.1,0.1,0.01,0.01,,,both,,,,,,0.0381,0.3933,0.0405,0.0415,0.231,0.2197,,43.382,,,,,,,0.895,,0.99,,0.9375,,,,,,,,,,,,61,46.9,,,,,reports/lobster_loss_weight_sweep_results_20260708.docx,
loss_weight_sweep_docx_20260708,coarse_02,GraphVAE+Motif both no-temp,LOBSTER,evaluated,9,1.28664788869,docx_table2_plus_docx_table3,,,,,,,,,,,,0.1,0.1,0.03,0.03,,,both,,,,,,0.0273,0.0897,0.0217,0.0485,0.3809,0.4353,,72.0375,,,,,,,0.97,,1,,0.9841,,,,,,,,,,,,61,31,,,,,reports/lobster_loss_weight_sweep_results_20260708.docx,
loss_weight_sweep_docx_20260708,coarse_03,GraphVAE+Motif both no-temp,LOBSTER,evaluated,14,1.6339844295,docx_table2_plus_docx_table3,,,,,,,,,,,,0.1,0.1,0.1,0.1,,,both,,,,,,0.0554,0.7579,0.163,0.0599,0.3485,0.1899,,11344.8344,,,,,,,0.715,,0.98,,0.819,,,,,,,,,,,,61,75.5,,,,,reports/lobster_loss_weight_sweep_results_20260708.docx,
loss_weight_sweep_docx_20260708,coarse_04,GraphVAE+Motif both no-temp,LOBSTER,evaluated,21,2.63573772178,docx_table2_plus_docx_table3,,,,,,,,,,,,0.1,0.1,0.3,0.3,,,both,,,,,,0.0645,1.0159,0.5919,0.064,0.4314,0.0201,,5036000000,,,,,,,0.21,,0.475,,0.2513,,,,,,,,,,,,61,532,,,,,reports/lobster_loss_weight_sweep_results_20260708.docx,
loss_weight_sweep_docx_20260708,coarse_05,GraphVAE+Motif both no-temp,LOBSTER,evaluated,23,2.99280538115,docx_table2_plus_docx_table3,,,,,,,,,,,,0.1,0.1,1,1,,,both,,,,,,0.1228,1.0476,0.7224,0.1201,0.3579,0.1155,,29000000000,,,,,,,0.13,,0.99,,0.2169,,,,,,,,,,,,61,1225,,,,,reports/lobster_loss_weight_sweep_results_20260708.docx,
loss_weight_sweep_docx_20260708,coarse_06,GraphVAE+Motif both no-temp,LOBSTER,evaluated,10,1.28982685233,docx_table2_plus_docx_table3,,,,,,,,,,,,1,1,0.01,0.01,,,both,,,,,,0.0296,0.0836,0.0191,0.0446,0.2618,0.4717,,55.3462,,,,,,,0.91,,1,,0.9522,,,,,,,,,,,,61,32.1,,,,,reports/lobster_loss_weight_sweep_results_20260708.docx,
loss_weight_sweep_docx_20260708,coarse_07,GraphVAE+Motif both no-temp,LOBSTER,evaluated,17,1.87794360708,docx_table2_plus_docx_table3,,,,,,,,,,,,1,1,0.03,0.03,,,both,,,,,,0.0748,0.3445,0.1941,0.1034,0.2452,0.0803,,20910000000,,,,,,,0.5,,1,,0.6658,,,,,,,,,,,,61,1028.3,,,,,reports/lobster_loss_weight_sweep_results_20260708.docx,
loss_weight_sweep_docx_20260708,coarse_08,GraphVAE+Motif both no-temp,LOBSTER,evaluated,11,1.40231063823,docx_table2_plus_docx_table3,,,,,,,,,,,,1,1,0.1,0.1,,,both,,,,,,0.0516,0.3485,0.0874,0.0802,0.4593,0.045,,13140000000,,,,,,,0.74,,1,,0.8485,,,,,,,,,,,,61,745.6,,,,,reports/lobster_loss_weight_sweep_results_20260708.docx,
loss_weight_sweep_docx_20260708,coarse_09,GraphVAE+Motif both no-temp,LOBSTER,evaluated,18,1.91187058526,docx_table2_plus_docx_table3,,,,,,,,,,,,1,1,0.3,0.3,,,both,,,,,,0.0752,0.6291,0.1438,0.1115,0.5846,0.08,,23670000000,,,,,,,0.675,,1,,0.8053,,,,,,,,,,,,61,978.7,,,,,reports/lobster_loss_weight_sweep_results_20260708.docx,
loss_weight_sweep_docx_20260708,coarse_10,GraphVAE+Motif both no-temp,LOBSTER,evaluated,28,4.47927476669,docx_table2_plus_docx_table3,,,,,,,,,,,,1,1,1,1,,,both,,,,,,0.262,1.1973,0.8543,0.227,0.6018,0.5485,,155500000000,,,,,,,0.035,,1,,0.0641,,,,,,,,,,,,61,2584.2,,,,,reports/lobster_loss_weight_sweep_results_20260708.docx,
guard_sweep_20260708,n0p3_m0p03,GraphVAE+Motif original temp guard,LOBSTER,evaluated,19,1.9786357894,test_table2_plus_third_party_table3,0.61951333332,2999,0.0209656304399,0.147090132424,0.0329257738458,0.0455397703499,0.12596649252,0.200051420042,1,1,1.00001,0.3,0.3,0.03,0.03,1.0,0.0,original,1.0,0.5,2.0,1.05,0.995,0.0344210401012,0.139730049332,0.0890649641977,0.0559222139346,0.615206457204,0.583551970124,0.0311134950033,85.155018425,119.902408511,44.4451408386,48.6891264915,19.7603778839,442.276794434,1.91595789367,0.87,0.0244948974278,1,0,0.930308770297,0.013937334097,0.512168702483,0.166163941299,0.865,0.0229128784748,1,0,0.927463823888,0.013037182269,1.58339836469e-05,6.52649990718e-07,61.05,36.5,20,20,10,collected_runs/20260708/lobster_graphvae_original_temp_guard_sweep/lobster_graphvae_original_temp_guard_n0p3_m0p03__cs-cl-09_gpu0,configs/loss_weight_sweeps/lobster_graphvae_motif_original_temp_guard/lobster_graphvae_original_temp_guard_n0p3_m0p03.yaml,
